date,d2,d3
20111001,63,62
20111002,58,59
20111003,53,59
20111004,55,58
20111005,64,58
20111006,58,57
20111007,57,56
20111008,61,56
20111009,69,56
20111010,71,60
20111011,68,61
20111012,61,61
20111013,63,64
20111014,66,67
20111015,61,64
20111016,61,61
20111017,62,61
20111018,60,59
20111019,62,58
20111020,65,57
20111021,55,56
20111022,54,60
20111023,54,65
20111024,54,60
20111025,57,56
20111026,54,54
20111027,54,56
20111028,42,58
20111029,40,57
20111030,38,57
20111031,44,55
20111101,49,57
20111102,47,64
20111103,50,56
20111104,50,50
20111105,43,51
20111106,43,52
20111107,48,51
20111108,55,50
20111109,53,54
20111110,57,55
20111111,48,53
20111112,46,54
20111113,51,53
20111114,56,53
20111115,59,53
20111116,56,52
20111117,49,52
20111118,41,53
20111119,44,49
20111120,54,50
20111121,54,51
20111122,49,52
20111123,50,54
20111124,44,55
20111125,50,51
20111126,52,53
20111127,49,52
20111128,57,51
20111129,59,49
20111130,50,49
20111201,44,60
20111202,43,62
20111203,42,58
20111204,43,52
20111205,50,51
20111206,54,49
20111207,54,48
20111208,43,46
20111209,42,49
20111210,45,52
20111211,33,48
20111212,36,47
20111213,38,47
20111214,41,46
20111215,49,48
20111216,50,47
20111217,40,49
20111218,29,49
20111219,33,48
20111220,45,49
20111221,47,48
20111222,54,53
20111223,47,47
20111224,34,47
20111225,35,48
20111226,43,45
20111227,42,47
20111228,46,48
20111229,30,50
20111230,40,52
20111231,49,50
20120101,46,53
20120102,43,53
20120103,30,49
20120104,19,52
20120105,32,52
20120106,41,49
20120107,47,51
20120108,46,56
20120109,34,52
20120110,39,51
20120111,40,49
20120112,45,51
20120113,40,53
20120114,30,52
20120115,23,49
20120116,22,45
20120117,39,43
20120118,43,45
20120119,26,47
20120120,32,51
20120121,27,53
20120122,25,48
20120123,39,52
20120124,48,49
20120125,43,52
20120126,37,53
20120127,48,50
20120128,43,50
20120129,40,53
20120130,38,51
20120131,43,50
20120201,50,50
20120202,45,51
20120203,37,51
20120204,40,52
20120205,36,53
20120206,39,54
20120207,43,54
20120208,36,51
20120209,36,53
20120210,38,53
20120211,36,52
20120212,29,50
20120213,33,49
20120214,39,48
20120215,42,49
20120216,39,52
20120217,46,49
20120218,41,51
20120219,39,47
20120220,38,48
20120221,37,49
20120222,45,53
20120223,50,54
20120224,42,55
20120225,42,51
20120226,36,47
20120227,40,45
20120228,45,47
20120229,40,49
20120301,41,48
20120302,36,48
20120303,47,50
20120304,44,55
20120305,38,48
20120306,32,48
20120307,43,49
20120308,51,49
20120309,47,51
20120310,37,49
20120311,42,50
20120312,48,48
20120313,52,53
20120314,60,55
20120315,47,55
20120316,44,54
20120317,48,48
20120318,48,47
20120319,53,45
20120320,57,49
20120321,57,51
20120322,57,51
20120323,61,48
20120324,55,49
20120325,48,46
20120326,49,49
20120327,39,54
20120328,49,54
20120329,56,52
20120330,46,54
20120331,42,56
20120401,45,51
20120402,48,50
20120403,51,52
20120404,61,50
20120405,50,47
20120406,48,47
20120407,51,49
20120408,55,50
20120409,58,51
20120410,55,53
20120411,49,52
20120412,51,53
20120413,53,50
20120414,55,50
20120415,62,51
20120416,62,51
20120417,69,53
20120418,59,53
20120419,54,55
20120420,56,55
20120421,58,58
20120422,52,52
20120423,51,55
20120424,49,57
20120425,52,57
20120426,50,55
20120427,51,53
20120428,47,54
20120429,54,54
20120430,51,53
20120501,57,52
20120502,53,50
20120503,53,52
20120504,57,53
20120505,57,53
20120506,56,56
20120507,54,55
20120508,57,52
20120509,59,52
20120510,61,53
20120511,59,53
20120512,64,49
20120513,65,52
20120514,64,56
20120515,62,53
20120516,63,51
20120517,64,51
20120518,61,52
20120519,62,52
20120520,66,54
20120521,62,52
20120522,63,53
20120523,66,56
20120524,64,54
20120525,65,52
20120526,69,52
20120527,71,52
20120528,74,52
20120529,75,52
20120530,72,52
20120531,72,53
20120601,67,54
20120602,68,54
20120603,67,52
20120604,61,55
20120605,58,53
20120606,61,54
20120607,66,53
20120608,68,54
20120609,72,55
20120610,72,60
20120611,69,57
20120612,66,55
20120613,66,53
20120614,67,53
20120615,68,54
20120616,67,57
20120617,64,55
20120618,61,52
20120619,66,53
20120620,77,55
20120621,88,53
20120622,82,54
20120623,77,55
20120624,75,55
20120625,70,56
20120626,65,57
20120627,73,57
20120628,77,56
20120629,79,56
20120630,84,58
20120701,81,58
20120702,82,56
20120703,80,56
20120704,77,55
20120705,86,54
20120706,79,54
20120707,83,54
20120708,81,52
20120709,77,53
20120710,76,53
20120711,76,52
20120712,75,52
20120713,77,53
20120714,79,54
20120715,78,54
20120716,79,54
20120717,83,56
20120718,84,57
20120719,75,57
20120720,68,58
20120721,68,57
20120722,72,56
20120723,75,56
20120724,82,57
20120725,78,57
20120726,77,56
20120727,79,55
20120728,77,55
20120729,72,55
20120730,72,55
20120731,73,55
20120801,75,55
20120802,77,54
20120803,79,53
20120804,79,54
20120805,81,57
20120806,80,58
20120807,75,58
20120808,77,57
20120809,78,55
20120810,77,54
20120811,78,53
20120812,78,52
20120813,78,53
20120814,76,53
20120815,76,56
20120816,75,57
20120817,77,55
20120818,72,56
20120819,70,54
20120820,71,53
20120821,73,53
20120822,74,54
20120823,74,55
20120824,76,54
20120825,76,53
20120826,73,56
20120827,74,58
20120828,79,58
20120829,74,57
20120830,73,55
20120831,77,55
20120901,80,55
20120902,75,53
20120903,73,53
20120904,73,52
20120905,77,54
20120906,74,56
20120907,76,56
20120908,77,56
20120909,69,56
20120910,67,55
20120911,64,56
20120912,68,55
20120913,69,54
20120914,70,55
20120915,69,54
20120916,66,52
20120917,67,54
20120918,72,54
20120919,67,56
20120920,62,55
20120921,64,55
20120922,65,55
20120923,65,52
20120924,60,54
20120925,63,53
20120926,68,53
20120927,69,52
20120928,68,52
20120929,62,53
20120930,62,55
