Date,Open,High,Low,Close,Volume,Adj Close
2010-10-01,10789,10907,10759,10829,4298910000,10829
2010-09-30,10835,10960,10732,10788,4284160000,10788
2010-09-29,10857,10901,10759,10835,3990280000,10835
2010-09-28,10809,10905,10714,10858,4025840000,10858
2010-09-27,10860,10902,10776,10812,3587860000,10812
2010-09-24,10664,10897,10664,10860,4123950000,10860
2010-09-23,10738,10779,10610,10662,3847850000,10662
2010-09-22,10761,10829,10682,10739,3911070000,10739
2010-09-21,10753,10844,10674,10761,4175660000,10761
2010-09-20,10608,10783,10594,10753,3364080000,10753
2010-09-17,10595,10689,10529,10607,4086140000,10607
2010-09-16,10571,10624,10499,10594,3364080000,10594
2010-09-15,10526,10609,10453,10572,3369840000,10572
2010-09-14,10544,10622,10460,10526,4521050000,10526
2010-09-13,10458,10605,10458,10544,4521050000,10544
2010-09-10,10415,10502,10376,10462,3061160000,10462
2010-09-09,10388,10515,10359,10415,3387770000,10415
2010-09-08,10338,10460,10318,10387,3224640000,10387
2010-09-07,10446,10448,10304,10340,3107380000,10340
2010-09-03,10321,10484,10321,10447,3534500000,10447
2010-09-02,10270,10350,10211,10320,3704210000,10320
2010-09-01,10016,10305,10016,10269,4396880000,10269
2010-08-31,10006,10101,9915,10014,4038770000,10014
2010-08-30,10145,10170,10005,10009,2917990000,10009
2010-08-27,9982,10176,9925,10150,4102460000,10150
2010-08-26,10059,10138,9959,9985,3646710000,9985
2010-08-25,10040,10104,9925,10060,4360190000,10060
2010-08-24,10170,10170,9975,10040,4436330000,10040
2010-08-23,10215,10328,10146,10174,3210950000,10174
2010-08-20,10270,10276,10131,10213,3761570000,10213
2010-08-19,10411,10412,10202,10271,4290540000,10271
2010-08-18,10398,10486,10308,10415,3724260000,10415
2010-08-17,10297,10501,10297,10405,3968210000,10405
2010-08-16,10303,10354,10193,10302,3142450000,10302
2010-08-13,10320,10381,10254,10303,3328890000,10303
2010-08-12,10361,10388,10222,10319,4521050000,10319
2010-08-11,10631,10631,10339,10378,4511860000,10378
2010-08-10,10696,10717,10522,10644,3979360000,10644
2010-08-09,10654,10755,10618,10698,3191630000,10698
2010-08-06,10668,10688,10491,10653,3857890000,10653
2010-08-05,10679,10712,10571,10674,3685560000,10674
2010-08-04,10630,10738,10583,10680,4057850000,10680
2010-08-03,10673,10714,10564,10636,4071820000,10636
2010-08-02,10468,10715,10468,10674,4144180000,10674
2010-07-30,10465,10528,10327,10465,4006450000,10465
2010-07-29,10498,10609,10383,10467,4612420000,10467
2010-07-28,10537,10586,10445,10497,4002390000,10497
2010-07-27,10525,10632,10460,10537,4725690000,10537
2010-07-26,10424,10545,10391,10525,4009650000,10525
2010-07-23,10321,10465,10237,10424,4524570000,10424
2010-07-22,10121,10391,10121,10322,4826900000,10322
2010-07-21,10226,10310,10053,10120,4747180000,10120
2010-07-20,10151,10248,9973,10229,4713280000,10229
2010-07-19,10098,10213,10051,10154,4089500000,10154
2010-07-16,10356,10356,10071,10097,5297350000,10097
2010-07-15,10367,10409,10216,10359,4552470000,10359
2010-07-14,10370,10423,10265,10366,4521050000,10366
2010-07-13,10217,10436,10217,10363,4640460000,10363
2010-07-12,10199,10260,10121,10216,3426990000,10216
2010-07-09,10137,10226,10079,10198,3506570000,10198
2010-07-08,10019,10175,9987,10138,4548460000,10138
2010-07-07,9736,10029,9716,10018,4931220000,10018
2010-07-06,9689,9880,9648,9743,4691240000,9743
2010-07-02,9732,9798,9603,9686,3968500000,9686
2010-07-01,9773,9834,9596,9732,6435770000,9732
2010-06-30,9868,9951,9741,9774,5067080000,9774
2010-06-29,10135,10135,9786,9870,6136700000,9870
2010-06-28,10143,10246,10070,10138,3896410000,10138
2010-06-25,10153,10261,10039,10143,5128840000,10143
2010-06-24,10297,10314,10112,10152,4814830000,10152
2010-06-23,10293,10393,10195,10298,4526150000,10298
2010-06-22,10441,10524,10276,10293,4514380000,10293
2010-06-21,10452,10627,10387,10442,4514360000,10442
2010-06-18,10435,10513,10379,10450,4555360000,10450
2010-06-17,10409,10479,10293,10434,4557760000,10434
2010-06-16,10404,10456,10289,10409,5002600000,10409
2010-06-15,10192,10416,10192,10404,4644490000,10404
2010-06-14,10211,10354,10175,10190,4425830000,10190
2010-06-11,10166,10235,10038,10211,4059280000,10211
2010-06-10,9901,10206,9901,10172,5144780000,10172
2010-06-09,9941,10093,9859,9899,5983200000,9899
2010-06-08,9812,9971,9726,9939,6192750000,9939
2010-06-07,9931,10025,9798,9816,5467560000,9816
2010-06-04,10249,10249,9881,9931,6180580000,9931
2010-06-03,10250,10348,10158,10255,4995970000,10255
2010-06-02,10025,10256,10007,10249,5026360000,10249
2010-06-01,10133,10249,9976,10024,5271480000,10024
2010-05-28,10258,10293,10078,10136,4871210000,10136
2010-05-27,9971,10279,9971,10258,5698460000,10258
2010-05-26,10045,10211,9937,9974,4521050000,9974
2010-05-25,10061,10061,9756,10043,7329580000,10043
2010-05-24,10193,10235,10028,10066,5224040000,10066
2010-05-21,10063,10225,9860,10193,5452130000,10193
2010-05-20,10440,10440,10042,10068,8328569600,10068
2010-05-19,10505,10558,10306,10444,6765800000,10444
2010-05-18,10625,10760,10463,10510,6170840000,10510
2010-05-17,10616,10707,10424,10625,5922920000,10625
2010-05-14,10780,10780,10509,10620,6126400000,10620
2010-05-13,10896,10952,10752,10782,4870640000,10782
2010-05-12,10742,10941,10725,10896,5225460000,10896
2010-05-11,10780,10888,10653,10748,5842550000,10748
2010-05-10,10386,10880,10386,10785,6893700000,10785
2010-05-07,10519,10622,10221,10380,9472910400,10380
2010-05-06,10862,10925,9787,10520,10617809600,10520
2010-05-05,10918,10984,10754,10868,6795940000,10868
2010-05-04,11149,11149,10843,10926,6594720000,10926
2010-05-03,11009,11203,11004,11151,4938050000,11151
2010-04-30,11168,11235,10984,11008,6048260000,11008
2010-04-29,11045,11232,11045,11167,6059410000,11167
2010-04-28,10988,11115,10938,11045,6342310000,11045
2010-04-27,11203,11260,10962,10991,7454540000,10991
2010-04-26,11205,11308,11150,11205,5647760000,11205
2010-04-23,11132,11247,11058,11204,5326060000,11204
2010-04-22,11119,11175,10975,11134,6035780000,11134
2010-04-21,11116,11217,11018,11124,5724310000,11124
2010-04-20,11093,11190,11045,11117,5316590000,11117
2010-04-19,11018,11116,10940,11092,6597740000,11092
2010-04-16,11143,11186,10947,11018,8108470400,11018
2010-04-15,11122,11189,11051,11144,5995330000,11144
2010-04-14,11020,11147,11004,11123,5760040000,11123
2010-04-13,11006,11072,10925,11019,5403580000,11019
2010-04-12,10996,11066,10957,11005,4607090000,11005
2010-04-09,10926,11032,10894,10997,4511570000,10997
2010-04-08,10896,10969,10810,10927,4726970000,10927
2010-04-07,10961,11000,10835,10897,5101430000,10897
2010-04-06,10972,11017,10893,10969,4086180000,10969
2010-04-05,10927,11026,10880,10973,3881620000,10973
2010-04-01,10857,10983,10851,10927,4006870000,10927
2010-03-31,10907,10933,10802,10856,4484340000,10856
2010-03-30,10895,10968,10837,10907,4085000000,10907
2010-03-29,10849,10954,10827,10895,4375580000,10895
2010-03-26,10841,10934,10801,10850,4708420000,10850
2010-03-25,10837,10985,10818,10841,5668900000,10841
2010-03-24,10887,10925,10788,10836,4705750000,10836
2010-03-23,10787,10906,10752,10888,4411640000,10888
2010-03-22,10741,10836,10672,10785,4261680000,10785
2010-03-19,10780,10869,10665,10741,5212410000,10741
2010-03-18,10733,10821,10686,10779,4234510000,10779
2010-03-17,10686,10787,10658,10733,4963200000,10733
2010-03-16,10642,10717,10594,10685,4369770000,10685
2010-03-15,10623,10680,10540,10642,4164110000,10642
2010-03-12,10611,10690,10561,10624,4928160000,10624
2010-03-11,10560,10626,10489,10611,4669060000,10611
2010-03-10,10560,10639,10502,10567,5469120000,10567
2010-03-09,10552,10637,10493,10564,5185570000,10564
2010-03-08,10563,10632,10500,10552,3774680000,10552
2010-03-05,10445,10587,10445,10566,4133000000,10566
2010-03-04,10396,10484,10363,10444,3945010000,10444
2010-03-03,10406,10496,10359,10396,3951320000,10396
2010-03-02,10404,10493,10359,10405,4134680000,10405
2010-03-01,10326,10444,10320,10403,3847640000,10403
2010-02-26,10321,10391,10250,10325,3945190000,10325
2010-02-25,10366,10366,10155,10321,4521130000,10321
2010-02-24,10284,10416,10271,10374,4168360000,10374
2010-02-23,10383,10430,10239,10282,4521050000,10282
2010-02-22,10402,10468,10333,10383,3814440000,10383
2010-02-19,10387,10459,10316,10402,3944280000,10402
2010-02-18,10309,10416,10255,10392,3878620000,10392
2010-02-17,10261,10366,10223,10309,4259230000,10309
2010-02-16,10100,10292,10100,10268,4080770000,10268
2010-02-12,10137,10140,9962,10099,4160680000,10099
2010-02-11,10037,10184,9963,10144,4400870000,10144
2010-02-10,10055,10120,9946,10038,4251450000,10038
2010-02-09,9910,10154,9910,10058,5114260000,10058
2010-02-08,10005,10059,9882,9908,4089820000,9908
2010-02-05,10003,10078,9822,10012,6438900000,10012
2010-02-04,10273,10273,9984,10002,5859690000,10002
2010-02-03,10291,10356,10192,10270,4285450000,10270
2010-02-02,10186,10333,10138,10296,4749540000,10296
2010-02-01,10068,10227,10068,10185,4077610000,10185
2010-01-29,10122,10272,10014,10067,5412850000,10067
2010-01-28,10236,10310,10023,10120,5452400000,10120
2010-01-27,10194,10294,10060,10236,5319120000,10236
2010-01-26,10195,10323,10102,10194,4731910000,10194
2010-01-25,10175,10316,10135,10196,4481390000,10196
2010-01-22,10389,10450,10133,10172,6208650000,10172
2010-01-21,10603,10651,10334,10389,6874289600,10389
2010-01-20,10719,10719,10492,10603,4810560000,10603
2010-01-19,10608,10763,10555,10725,4724830000,10725
2010-01-15,10706,10736,10529,10609,4758730000,10609
2010-01-14,10680,10767,10619,10710,3915200000,10710
2010-01-13,10628,10747,10569,10680,4170360000,10680
2010-01-12,10662,10701,10523,10627,4716160000,10627
2010-01-11,10620,10739,10538,10663,4255780000,10663
2010-01-08,10606,10653,10509,10618,4389590000,10618
